date,trip_count,avg_fare,avg_distance,avg_passenger_count,total_revenue,day_of_week,day_name,month,month_name
2024-01-26,102660,18.194158484317164,3.444475550360413,1.3300548878488614,1867812.31,4,Friday,1,January
2024-01-27,107219,17.161359553810424,2.8754925899327546,1.4170637183365387,1840023.81,5,Saturday,1,January
2024-01-28,89143,18.388045387747777,3.4213878823912145,1.387831603229527,1639165.53,6,Sunday,1,January
2024-01-29,82120,18.88789807598636,3.456891134924501,1.2668569568592103,1551074.19,0,Monday,1,January
2024-01-30,98541,17.649857115312408,6.154639490161455,1.2540921103485736,1739234.57,1,Tuesday,1,January
2024-01-31,99409,17.84883571909988,3.209068092426239,1.250484933354079,1774334.91,2,Wednesday,1,January
2024-02-01,3,19.333333333333332,4.083333333333333,2.3333333333333335,58.0,3,Thursday,2,February
2024-02-02,102450,17.777018936066376,3.016742508540752,1.320866935483871,1821255.59,4,Friday,2,February
2024-02-03,107030,16.785033355134075,2.8187090535363915,1.4229286524989238,1796502.12,5,Saturday,2,February
2024-02-04,85289,18.89931186905697,3.5433286824795696,1.3867408709236477,1611903.41,6,Sunday,2,February
2024-02-05,85946,18.604756591348053,3.79322341935634,1.2719333826441745,1599004.41,0,Monday,2,February
2024-02-06,99346,18.017754514524995,3.8121792523101083,1.253322129897613,1789991.84,1,Tuesday,2,February
2024-02-07,100124,18.77775708121929,5.293616315768448,1.255367394687748,1880104.15,2,Wednesday,2,February
2024-02-08,110718,18.73268438736249,4.223492205422786,1.269851401965662,2074045.35,3,Thursday,2,February
2024-02-09,106808,18.497763650662872,6.382909894389933,1.3310037436343554,1975709.14,4,Friday,2,February
2024-02-10,108062,17.414495012122668,5.079075160555977,1.4265700622540387,1881845.16,5,Saturday,2,February
2024-02-11,92775,18.788326812180006,4.611411910536243,1.3936916022775834,1743087.02,6,Sunday,2,February
2024-02-12,89515,18.7568923644082,3.406517566888231,1.2828401820155684,1679023.22,0,Monday,2,February
2024-02-13,67148,16.588677250253173,3.0997453386549116,1.3036224098234843,1113896.5,1,Tuesday,2,February
2024-02-14,117694,17.940957482964297,4.844471595833262,1.3033534229639931,2111543.05,2,Wednesday,2,February
2024-02-15,117700,18.247918096856413,3.0706117247238742,1.2775619792771928,2147779.96,3,Thursday,2,February
2024-02-16,101643,19.01235244925868,3.7563599067323867,1.3486161063330726,1932472.54,4,Friday,2,February
2024-02-17,100639,17.380858215999762,3.8847472649767982,1.4541680216802169,1749192.19,5,Saturday,2,February
2024-02-18,89124,18.567067680983797,3.852527377586284,1.4568094527484894,1654771.34,6,Sunday,2,February
2024-02-19,73476,20.344409467036858,4.066374598508356,1.3805494149617719,1494825.83,0,Monday,2,February
2024-02-20,94317,18.895663242045444,3.355569197493559,1.293836268704095,1782182.27,1,Tuesday,2,February
2024-02-21,100813,18.1568113239364,3.639402953984109,1.2878586745634637,1830442.62,2,Wednesday,2,February
2024-02-22,112035,18.697167135270227,5.239349488998974,1.2970268296792795,2094737.12,3,Thursday,2,February
2024-02-23,99339,18.505767020002214,5.352411640946658,1.3488010355878945,1838344.39,4,Friday,2,February
2024-02-24,113025,17.46759884981199,3.000440610484406,1.4308874779204659,1974275.36,5,Saturday,2,February
2024-02-25,91276,19.322051360708183,3.7296369253692103,1.4047522436509452,1763639.56,6,Sunday,2,February
2024-02-26,83362,20.504401165998896,3.745754900314292,1.2756049819845654,1709287.89,0,Monday,2,February
2024-02-27,112524,18.20063346486083,3.2302842060360457,1.2591434425024262,2048008.08,1,Tuesday,2,February
2024-02-28,108191,18.824819994269394,3.5607150317494063,1.2564853144096195,2036676.1,2,Wednesday,2,February
2024-02-29,124177,18.851888191855174,3.443663641415077,1.2681906129345741,2340970.92,3,Thursday,2,February
2024-03-01,2,25.75,5.550000000000001,1.0,51.5,4,Friday,3,March
2024-03-02,116030,17.72844652245109,4.091350512798415,1.419461753903108,2057031.65,5,Saturday,3,March
